k,Energy (eV)
0.22989,8.062797
0.25287,8.310423
0.27586,8.525394
0.29885,8.698188
0.32184,8.823361
0.34483,8.900914
0.36782,8.932208
0.3908,8.925405
0.41379,8.89003
0.43678,8.838327
0.45977,8.783905
0.48276,8.739005
0.50575,8.715876
0.52874,8.721317
0.55172,8.752611
0.57471,8.801592
0.5977,8.858736
0.62069,8.907718
0.64368,8.941732
0.66667,8.963501
,
,
0.0,7.917215
0.02299,7.924018
0.04598,7.943066
0.06897,7.978441
0.09195,8.028782
0.11494,8.098172
0.13793,8.18661
0.16092,8.291374
0.18391,8.402943
0.2069,8.507707
0.22989,8.594784
0.25287,8.675058
0.27586,8.764856
0.29885,8.883226
0.32184,9.03289
0.34483,9.211126
0.36782,9.402968
0.3908,9.581204
0.41379,9.715901
0.43678,9.788013
0.45977,9.807061
0.48276,9.782571
0.50575,9.724066
0.52874,9.634267
0.55172,9.521338
0.57471,9.390723
0.5977,9.253304
0.62069,9.121328
0.64368,9.016563
0.66667,8.963501
,
,
0.0,7.917215
0.02299,8.148514
0.04598,8.466888
0.06897,8.789347
0.09195,9.107723
0.11494,9.415214
0.13793,9.475079
0.16092,9.378478
0.18391,9.310449
0.2069,9.291401
0.22989,9.328136
0.25287,9.413853
0.27586,9.528142
0.29885,9.650595
0.32184,9.771686
0.34483,9.888696
0.36782,10.004345
0.3908,10.1336
0.41379,10.294148
0.43678,10.492793
0.45977,10.709126
0.48276,10.922736
0.50575,11.122741
0.52874,11.298256
0.55172,11.44792
0.57471,11.403021
0.5977,11.238391
0.62069,11.100972
0.64368,11.011174
0.66667,10.979881
,
,
0.0,9.937676
0.02299,9.919989
0.04598,9.871008
0.06897,9.794815
0.09195,9.695493
0.11494,9.585286
0.13793,9.710459
0.16092,9.989378
0.18391,10.250609
0.2069,10.492793
0.22989,10.715928
0.25287,10.922736
0.27586,11.115939
0.29885,11.298256
0.32184,11.469689
0.34483,11.627517
0.36782,11.767656
0.3908,11.881945
0.41379,11.962219
0.43678,12.004397
0.45977,12.001676
0.48276,11.952695
0.50575,11.860175
0.52874,11.72956
0.55172,11.573093
0.57471,11.567651
0.5977,11.658811
0.62069,11.722757
0.64368,11.758132
0.66667,11.770378
,
,
0.66667,-9.302285
0.690482,-9.334939
0.71429,-9.368954
0.738102,-9.401608
0.76191,-9.434261
0.785722,-9.465554
0.80953,-9.495487
0.833342,-9.522698
0.85715,-9.54719
0.880962,-9.568959
0.90477,-9.586646
0.928582,-9.600252
0.952389,-9.611136
0.976202,-9.61794
1.000009,-9.6193
,
,
0.66667,-9.302285
0.690482,-9.272352
0.71429,-9.249222
0.738102,-9.231535
0.76191,-9.21793
0.785722,-9.209765
0.80953,-9.204323
0.833342,-9.200241
0.85715,-9.198881
0.880962,-9.200241
0.90477,-9.200241
0.928582,-9.201602
0.952389,-9.202963
0.976202,-9.202963
1.000009,-9.204323
,
,
0.66667,-4.688559
0.690482,-4.694001
0.71429,-4.714409
0.738102,-4.751145
0.76191,-4.798766
0.785722,-4.849107
0.80953,-4.899448
0.833342,-4.947069
0.85715,-4.989247
0.880962,-5.027343
0.90477,-5.058636
0.928582,-5.083127
0.952389,-5.100814
0.976202,-5.111699
1.000009,-5.11578
,
,
0.66667,-4.066773
0.690482,-4.083101
0.71429,-4.05725
0.738102,-4.027317
0.76191,-4.042283
0.785722,-4.066773
0.80953,-4.093985
