k,Energy (eV)
0.83642,-4.213036
0.86256,-4.213036
0.8887,-4.213036
,
,
0.0,-4.101469
0.02614,-4.102829
0.05228,-4.109632
0.07842,-4.119156
0.10455,-4.131402
0.13069,-4.145007
0.15683,-4.159974
0.18297,-4.1763
0.20911,-4.188546
0.23525,-4.189906
0.26138,-4.189906
0.28752,-4.191266
0.31366,-4.192627
0.3398,-4.192627
0.36594,-4.193988
0.39207,-4.193988
0.41821,-4.193988
0.44435,-4.193988
0.47049,-4.188546
0.49663,-4.166776
0.52277,-4.117795
0.5489,-4.05929
0.57504,-3.993983
0.60118,-3.923232
0.62732,-3.84704
0.65346,-3.766765
0.67959,-3.682409
0.70573,-3.593972
0.73187,-3.504174
0.75801,-3.411654
0.78415,-3.320496
0.81029,-3.290563
0.83642,-3.28512
0.86256,-3.281039
0.8887,-3.281039
,
,
0.0,-3.957247
0.02614,-3.951804
0.05228,-3.934117
0.07842,-3.912347
0.10455,-3.886497
0.13069,-3.859285
0.15683,-3.832074
0.18297,-3.804862
0.20911,-3.77765
0.23525,-3.750439
0.26138,-3.723227
0.28752,-3.696016
0.31366,-3.670164
0.3398,-3.642953
0.36594,-3.617102
0.39207,-3.58989
0.41821,-3.564039
0.44435,-3.539549
0.47049,-3.513698
0.49663,-3.490568
0.52277,-3.466078
0.5489,-3.444308
0.57504,-3.422539
0.60118,-3.40213
0.62732,-3.383082
0.65346,-3.365394
0.67959,-3.347707
0.70573,-3.332741
0.73187,-3.319135
0.75801,-3.30825
0.78415,-3.298726
0.81029,-3.234779
0.83642,-3.157226
0.86256,-3.101442
0.8887,-3.079673
,
,
0.0,-3.130014
0.02614,-3.125932
0.05228,-3.115048
0.07842,-3.095999
0.10455,-3.070149
0.13069,-3.040216
0.15683,-3.004841
0.18297,-2.966745
0.20911,-2.924567
0.23525,-2.897355
0.26138,-2.868783
0.28752,-2.83885
0.31366,-2.806196
0.3398,-2.76946
0.36594,-2.731364
0.39207,-2.691907
0.41821,-2.64973
0.44435,-2.606191
0.47049,-2.561292
0.49663,-2.517753
0.52277,-2.476936
0.5489,-2.455167
0.57504,-2.4402
0.60118,-2.429316
0.62732,-2.422512
0.65346,-2.418431
0.67959,-2.41571
0.70573,-2.41571
0.73187,-2.41571
0.75801,-2.418431
0.78415,-2.419792
0.81029,-2.421152
0.83642,-2.422512
0.86256,-2.434758
0.8887,-2.457888
,
,
0.0,-3.130014
0.02614,-3.125932
0.05228,-3.115048
0.07842,-3.095999
0.10455,-3.070149
0.13069,-3.040216
0.15683,-3.004841
0.18297,-2.966745
0.20911,-2.924567
0.23525,-2.882389
0.26138,-2.837489
0.28752,-2.792591
0.31366,-2.749051
0.3398,-2.705513
0.36594,-2.663335
0.39207,-2.623878
0.41821,-2.587143
0.44435,-2.553129
0.47049,-2.523196
0.49663,-2.495984
0.52277,-2.472854
0.5489,-2.455167
0.57504,-2.4402
0.60118,-2.429316
0.62732,-2.422512
0.65346,-2.418431
0.67959,-2.41571
0.70573,-2.41571
0.73187,-2.41571
0.75801,-2.418431
0.78415,-2.419792
0.81029,-2.421152
0.83642,-2.422512
0.86256,-2.423873
0.8887,-2.423873
,
,
0.0,-3.019807
0.02614,-3.018446
0.05228,-3.013004
0.07842,-3.004841
0.10455,-2.993956
0.13069,-2.98035
0.15683,-2.964023
0.18297,-2.943615
0.20911,-2.921845
0.23525,-2.882389
0.26138,-2.837489
0.28752,-2.792591
0.31366,-2.749051
0.3398,-2.705513
0.36594,-2.663335
0.39207,-2.623878
0.41821,-2.587143
0.44435,-2.553129
0.47049,-2.523196
0.49663,-2.495984
0.52277,-2.472854
0.5489,-2.43884
0.57504,-2.404825
0.60118,-2.374892
0.62732,-2.351763
0.65346,-2.332715
0.67959,-2.317748
0.70573,-2.308224
0.73187,-2.302782
0.75801,-2.2987
0.78415,-2.297339
0.81029,-2.295979
0.83642,-2.372171
0.86256,-2.423873
0.8887,-2.423873
,
,
0.0,-3.000759
0.02614,-2.999398
0.05228,-2.992596
0.07842,-2.981711
0.10455,-2.965384
0.13069,-2.944975
0.15683,-2.919125
0.18297,-2.889192
0.20911,-2.855177
0.23525,-2.817081
0.26138,-2.774903
0.28752,-2.730003
0.31366,-2.681022
0.3398,-2.629321
0.36594,-2.576258
0.39207,-2.520474
0.41821,-2.46333
0.44435,-2.404825
0.47049,-2.344959
0.49663,-2.283734
0.52277,-2.219786
0.5489,-2.153117
0.57504,-2.083728
0.60118,-2.011618
0.62732,-1.936785
0.65346,-1.859232
0.67959,-1.78168
0.70573,-1.842906
0.73187,-1.959916
0.75801,-2.072844
0.78415,-2.18305
0.81029,-2.285094
0.83642,-2.295979
0.86256,-2.297339
0.8887,-2.297339
,
,
0.0,-1.300034
0.02614,-1.301395
0.05228,-1.308198
0.07842,-1.320443
0.10455,-1.335409
0.13069,-1.354457
0.15683,-1.377587
0.18297,-1.403438
0.20911,-1.43065
0.23525,-1.460582
0.26138,-1.490515
0.28752,-1.521809
0.31366,-1.551741
0.3398,-1.583035
0.36594,-1.611607
0.39207,-1.638818
0.41821,-1.66467
0.44435,-1.68916
0.47049,-1.709569
0.49663,-1.725896
0.52277,-1.740862
0.5489,-1.751747
0.57504,-1.75991
0.60118,-1.765352
0.62732,-1.766713
0.65346,-1.768073
0.67959,-1.766713
0.70573,-1.763992
0.73187,-1.761271
0.75801,-1.758549
0.78415,-1.754468
0.81029,-1.751747
0.83642,-1.750386
0.86256,-1.749025
0.8887,-1.749025
,
,
0.0,-1.300034
0.02614,-1.301395
0.05228,-1.308198
0.07842,-1.320443
0.10455,-1.335409
0.13069,-1.354457
0.15683,-1.377587
0.18297,-1.403438
0.20911,-1.43065
0.23525,-1.460582
0.26138,-1.490515
0.28752,-1.521809
0.31366,-1.551741
0.3398,-1.583035
0.36594,-1.611607
0.39207,-1.638818
0.41821,-1.66467
0.44435,-1.68916
0.47049,-1.709569
0.49663,-1.725896
0.52277,-1.740862
0.5489,-1.751747
0.57504,-1.75991
0.60118,-1.765352
0.62732,-1.766713
0.65346,-1.768073
0.67959,-1.766713
0.70573,-1.763992
0.73187,-1.761271
0.75801,-1.758549
0.78415,-1.754468
0.81029,-1.751747
0.83642,-1.750386
0.86256,-1.749025
0.8887,-1.749025
,
,
0.0,-0.00068
0.02614,-0.002041
0.05228,-0.010204
0.07842,-0.02381
0.10455,-0.041498
0.13069,-0.065988
0.15683,-0.09456
0.18297,-0.128575
0.20911,-0.168032
0.23525,-0.212931
0.26138,-0.263272
0.28752,-0.319056
0.31366,-0.378922
0.3398,-0.44559
0.36594,-0.517701
0.39207,-0.593893
0.41821,-0.675528
0.44435,-0.762605
0.47049,-0.855124
0.49663,-0.951725
0.52277,-1.052408
0.5489,-1.157173
0.57504,-1.26602
0.60118,-1.377587
0.62732,-1.491876
0.65346,-1.608886
0.67959,-1.725896
0.70573,-1.702766
0.73187,-1.626573
0.75801,-1.554463
0.78415,-1.489155
0.81029,-1.433371
0.83642,-1.389832
0.86256,-1.362621
0.8887,-1.353097
,
,
0.0,1.257856
0.02614,1.263299
0.05228,1.278265
0.07842,1.302755
0.10455,1.335409
0.13069,1.376227
0.15683,1.422486
0.18297,1.472828
0.20911,1.523169
0.23525,1.57079
0.26138,1.610246
0.28752,1.636097
0.31366,1.64154
0.3398,1.626573
0.36594,1.591198
0.39207,1.539496
0.41821,1.475549
0.44435,1.402078
0.47049,1.321803
0.49663,1.238808
0.52277,1.151731
0.5489,1.061933
0.57504,0.970774
0.60118,0.879615
0.62732,0.788456
0.65346,0.697297
0.67959,0.607499
0.70573,0.520422
0.73187,0.437426
0.75801,0.359874
0.78415,0.289123
0.81029,0.230618
0.83642,0.184359
0.86256,0.155786
0.8887,0.146262
,
,
0.0,2.954499
0.02614,2.946336
0.05228,2.924567
0.07842,2.889191
0.10455,2.842932
0.13069,2.788509
0.15683,2.730004
0.18297,2.671499
0.20911,2.612994
0.23525,2.561292
0.26138,2.520474
0.28752,2.495984
0.31366,2.491902
0.3398,2.50959
0.36594,2.547686
0.39207,2.600749
0.41821,2.664696
0.44435,2.736807
0.47049,2.811639
0.49663,2.889191
0.52277,2.968105
0.5489,3.044298
0.57504,2.977629
0.60118,2.913682
